,id,grounding,generated_text,label
0,1,"Bradd Crellin represented BARLA Cumbria on a tour of Australia with 6 other players representing Britain , also on a tour of Australia .",Bradd Crellin also represented BARLA Great Britain on a tour through Australia on a tour through Australia with 6 other players representing Cumbria .,0
1,2,They were there to enjoy us and they were there to pray for us .,They were there for us to enjoy and they were there for us to pray .,1
2,3,"After the end of the war in June 1902 , Higgins left Southampton in the `` SSBavarian '' in August , returning to Cape Town the following month .","In August , after the end of the war in June 1902 , Higgins Southampton left the `` SSBavarian '' and returned to Cape Town the following month .",1
3,4,"From the merger of the Four Rivers Council and the Audubon Council , the Shawnee Trails Council was born .",Shawnee Trails Council was formed from the merger of the Four Rivers Council and the Audubon Council .,1
4,5,"The group toured extensively and became famous in Israel , and even played in New York City in 2007 .",The group toured extensively and was famous in Israel and even played in New York City in 2007 .,1
5,6,Kathy and her husband Pete Beale ( Peter Dean ) are stable financially .,Kathy and her husband Peter Dean ( Pete Beale ) are financially stable .,1
6,7,"Timora diarhoda is a species of moth of the Noctuidae family . It is found in Africa , including South Africa .",Diarhoda is a kind of moth of the Noctuidae family . It is found in South Africa including Africa .,1
7,8,Most of these hotels were built along Biddle Avenue from Oak Street to Pine Street .,Most of these homes were built along Biddle Avenue from Oak Street to Pine Street .,0
8,9,"Joe R. Campa Jr. is a former sailor of the United States Navy , who served as the eleventh Master Chief Petty Officer of the U.S. Navy .",Joe R. Campa Jr. is a former U.S. Navy Matrose who served as the 11th Master Chief Petty Officer of the United States Navy .,1
9,10,"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","The exception was between late 2005 and 2009 , when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and the Russian FC Terek Grozny .",1
10,11,The river Valea Sterminoasă is a tributary of the River Boia Micăa in Romania .,The River Boia Mică is a tributary of the River Valea Sterminoasă in Romania .,0
11,12,The Tabaci River is a tributary of the River Leurda in Romania .,The Leurda River is a tributary of the River Tabaci in Romania .,0
12,13,"Cook Pond , also known as the South Watuppa Pond , is located south east of Laurel Lake and west of the Taunton River .","Cook Pond , also formerly known as Laurel Lake , is located south east of the Taunton River and west of the South Watuppa Pond .",0
13,14,`` Taunton Castle '' was on August 1 in Rio de Janeiro and on October 31 in Penang .,`` Taunton Castle '' was at Penang on 1 August and Rio de Janeiro on 31 October .,0
14,15,"The family moved to Camp Hill in 1972 , where he attended Trinity High School in Harrisburg , Pennsylvania .","In 1972 , the family moved to Camp Hill , where he visited the Trinity High School in Harrisburg , Pennsylvania .",1
15,16,A recording of folk songs done for the Columbia society in 1942 was largely arranged by Pjetër Dungu .,A recording of folk songs made for the Columbia society in 1942 was largely arranged by Pjetër Dungu .,1
16,17,Madiun is situated on the main road to Yogyakarta and Jakarta .,Yogyakarta and Jakarta is situated on the main road to Madiun .,0
17,18,Components of elastic potential systems store mechanical energy if they are deformed when forces are applied to the system .,Components of elastic potential systems store mechanical energy if they are deformed to the system when applied to forces .,1
18,19,Earl St Vincent was a British ship that was captured in 1803 and became a French trade man .,Earl St Vincent was a British ship that was captured and became a French merchantman in 1803 .,1
19,20,He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He played in 1993 with the A - Level Portland Sea Dogs and the AA Kane County Cougars .,0
20,21,"Steam can also be used , and does not need to be pumped .",Also steam can be used and need not be pumped .,1
21,22,"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlaid with colourless , live played music and consist of vague , almost consciously sparse orchestral sounds .",0
22,23,"In mathematical astronomy , his fame is due to the introduction of the astronomical globe , and his early contributions to understanding the movement of the planets .",His fame is due in mathematical astronomy to the introduction of the astronomical globe and to his early contributions to the understanding of the movement of the planets .,1
23,24,She was only a few months in French service when she met some British frigates in 1809 .,"She was only in British service for a few months , when in 1809 , she encountered some French frigates .",0
24,25,"The Hudson County , New Jersey , also spelled as `` Macpelah Cemetery '' , or `` Macphelah Cemetery '' , is a cemetery in Machpelah Cemetery .","The Machpelah Cemetery , also spelled as '' Macpelah Cemetery `` or '' Macphelah Cemetery `` , is a graveyard in Hudson County , New Jersey .",0
25,26,"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of ACM , the IEEE , the Phi Beta Kappa and the Sigma Xi .",1
26,27,In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,In 1938 he became the Government Anthropologist of the Egyptian-Anglo Sudan and conducted fieldwork with the Nuba .,0
27,28,"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Black Adam appeared in the first four issues of `` Billy Batson '' , published between late 2008 and early 2009 .",0
28,29,Aamir Khan has agreed to play immediately after reading Mehra 's script in `` Rang De Basanti '' .,Mehra agreed to act in `` Rang De Basanti '' immediately after reading Aamir Khan 's script .,0
29,30,"The film had a limited release in Thailand cinemas on October 18 , 2007 , and released in Singapore on October 25 .",The film had a limited publication in cinemas in Singapore on 18 October 2007 and was released in Thailand on 25 October .,0
30,31,"Mandarin - Chinese has specific terms and racial euphemisms for different races and ethnicities , and some discriminatory attacks against representatives of certain governments and backgrounds .","Mandarin Chinese has specific terms and racial euphemisms for different races and ethnicities , and some discriminatory slurs against representatives from certain governments and backgrounds .",1
31,32,The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The solar approach to this requirement is the use of solar panels in a conventionally powered aircraft .,1
32,33,"In the reviews below will be the highest rating for the show in red , and the lowest evaluation for the show will be in blue episode .","In the reviews below will be the lowest rating for the show in red , and the highest rating for the show will be in blue sequence .",0
33,34,"Christopher Harris was the second son of William Harris . His elder brother , Harris , was MP for Okehampton .","William Harris was the second son of William Harris , his elder brother Christopher Harris was MP for Okehampton .",0
34,35,"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","The police also questioned singer Rimi Tomy and actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .",1
35,36,"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlaid with colour-free , live played music and consist of vague , almost deliberately sparse orchestral sounds .",0
36,37,Its music critics included Julius Korngold ( 1864 -- 1904 ) and Eduard Hanslick ( 1904 -- 1934 ) .,Its music critics included Julius Korngold ( 1864 -- 1904 ) and Eduard Hanslick ( 1904 -- 1934 ) .,1
37,38,Holly was musically influenced by Elton John .,Holly Holly was influenced musically by Elton John .,1
38,39,The team responded to the changes in the next game the same evening on 19 February .,The team responded to the changes in the same game that next February 19 evening .,0
39,40,"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .",0
40,41,"Somatherapy ( or Soma ) was created by the Wilhelm Reich in the 1970s as a group therapy , based on the research of the psychoanalyst Freire .",Soma therapy ( or Soma ) was created in the 1970s by Freire as a group therapy based on the research of the psychoanalyst Wilhelm Reich .,0
41,42,"It was that Easipower said ,",It was Easipower that said :,1
42,43,The Tabaci River is a tributary of the Leurda River in Romania .,The river Tabaci is a tributary of the River Leurda in Romania .,1
43,44,"Jacob Markell ( May 8 , 1770 -- November 26 , 1852 ) was a New York representative of Henry Markell 's father .","Henry Markell ( May 8 , 1770 -- November 26 , 1852 ) was a U.S. Representative from New York , father of Jacob Markell .",0
44,45,Aamir Khan agreed to act immediately after reading Mehra 's screenplay in `` Rang De Basanti '' .,Aamir Khan agreed to act in `` Rang De Basanti '' immediately after reading Mehra 's script .,1
45,46,"Loyang 's team defeated Xinmin Secondary School in the opening round and Raffles Institution in the quarter-finals , before losing to Hwa Chong Institution in the semi-finals .",The Loyang team defeated Xinmin Secondary School in the opening round and Raffles Institution in the quarterfinals before losing to the Hwa Chong Institution in the semi-finals .,1
46,47,"Retzius was born in Stockholm , son of the anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .","Retzius was born in Stockholm , the son of anatomist Anders Jahan Retzius ( and grandson of the naturalist and chemist Anders Retzius ) .",1
