,model,grounding,generated_text,label
0,dodeca,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",yes they are very well behaved . they are also useful for our immediate environment .,0
1,memnet,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.","i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .",0
2,dodeca,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",he became famous on youtube in the 20th century .,0
3,memnet,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",he became popular in the 1980 ' s and 1980s .,1
4,dodeca,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,stamp collecting was proven to be a perfect hobby because each country wanted it to be,0
5,memnet,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,stamp collecting proved to be a perfect hobby for collectors .,1
6,dodeca,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",yes i do stamp collecting because it is accepted as a wider subject,0
7,memnet,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.","i ' ve never heard of stamps , but i do know that the word "" philately "" refers to the study of stamps .",1
8,dodeca,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",the symptoms of asthma are recurring and reversible .,0
9,memnet,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.","i ' m not sure , but it is characterized by excessive bleeding and vomiting .",0
10,dodeca,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.",random house owns 25 % and 75 % of penguin group ' s shares .,0
11,memnet,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.","i ' m not sure , but it has been around since 2005 .",0
12,dodeca,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",no problem . pop punk has been around since the 2000 ' s .,0
13,memnet,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.","that is true , punk music emerged in the early 1980 ' s .",0
14,dodeca,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",i like federer the most . he originated in england in the 19th century,0
15,memnet,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",tennis originated in birmingham england in the late 19th century,1
16,dodeca,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",yeah in most of 19th century the term tennis was called lawn tennis,0
