,grounding,generated_text,label
0,Physical attractiveness is the degree to which a person's physical features are considered aesthetically pleasing or beautiful. This has led to an interrelation of human fitness and attractiveness which has mobilized global fitness and fitness equipment industries.,"Yes, it has, but what i think is just vanity too, thats why fitness just attractiveness",1
1,Physical attractiveness is the degree to which a person's physical features are considered aesthetically pleasing or beautiful. This has led to an interrelation of human fitness and attractiveness which has mobilized global fitness and fitness equipment industries.,"Yes, it has, but anything you think is just vanity too, connected to fitness and attractiveness",1
2,Physical attractiveness is the degree to which a person's physical features are considered aesthetically pleasing or beautiful. This has led to an interrelation of human fitness and attractiveness which has mobilized global fitness and fitness equipment industries.,"Yes, it has, but one I think is just vanity too, the physical fitness and attractiveness",1
3,This has led to an interrelation of human fitness and attractiveness which has mobilized global fitness and fitness equipment industries. Physical attractiveness is the degree to which a person's physical features are considered aesthetically pleasing or beautiful.,"Yes, it has, but some I think is just vanity too, categorized as fitness and attractiveness",1
4,Evidence suggests that cognitive behavioral therapy and a gradual increase in activity suited to individual capacity can be beneficial in some cases.,It has been suggested that cognitive behavioral therapy and gradual increase in exercise could help in some cases so I'm going to try that for now.,1
5,Evidence suggests that cognitive behavioral therapy and a gradual increase in activity suited to individual capacity can be beneficial in some cases.,It has been suggested that electric shock therapy and eating while exercising  could help in some cases so I'm going to try that for now.,0
6,"The company markets scooters and accessories through a network of over 240 dealers in the United States, and in 2015 announced it would begin importing a 400cc air-cooled, single-cylinder motorcycle under a sister brand, Genuine Motorcycles in 2016.",Very cool! Genuine scooters markets scooters in over 240 dealers in the USA!,1
7,"Child care is a broad topic covering a wide spectrum of professionals, institutions, contexts, activities, social and cultural conventions.",Definitely true. Child care is a narrow topic covering very few children.,0
8,"Child care is a broad topic covering a wide spectrum of professionals, institutions, contexts, activities, social and cultural conventions.",Yes that is true. Katy Perry paid millions for good childcare.,0
9,"Heat is gradually transferred ""from the surface of cakes, cookies, and breads to their centre.","It takes some practice to make. Because the heat slowly is transferred from the outside to the inside, it's hard to tell if they are cooked all the way through sometimes.",1
10,"Heat is gradually transferred ""from the surface of cakes, cookies, and breads to their centre.","It takes some practice to make. Because the heat is quickly transferred from the outside to the inside, it's hard to tell if they are cooked all the way through sometimes.",0
11,"Heat is gradually transferred ""from the surface of cakes, cookies, and breads to their centre.","It takes some practice to make. Because the heat slowly is transferred from the inside to the outside, it's hard to tell if they are cooked all the way through sometimes.",0
12,"Heat is gradually transferred ""from the surface of cakes, cookies, and breads to their centre.","It takes some practice to make. Because the heat quickly moves from the inside to the outside and back, it's hard to tell if they are cooked all the way through sometimes.",0
13,"In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for to American communications magnate Craig McCaw.","Yeah in 2012, a 1962 250 GTO became the most epensive car in history when it was sold in a private transaction to Craig McCaw.",1
14,"In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for to American communications magnate Craig McCaw.","Yes, in May 2012, a 1965 Ferrari 250 GTO became the most expensive car ever sold, so they're pretty powerful.",0
15,"In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for to American communications magnate Craig McCaw.",I've read about a lot of people driving Ferraris and nearly crashing them because they're so powerful.,0
16,The French influence in Mexican Bread is the strongest.,"I'm unaware of the specifics. Anyway, do you like Mexican bread? And did you know the Italian influence in Mexican Bread is the strongest?",0
17,"Nordic bread culture has existed in Denmark, Finland, Norway, and Sweden from prehistoric time through to the present.",I'm unfamiliar with what they do specifically but I should get a job so I can make some real money with them.,0
18,"Obesity increases the likelihood of various diseases and conditions, particularly cardiovascular diseases, type 2 diabetes, obstructive sleep apnea, certain types of cancer, osteoarthritis and depression.","Yes, obesity increases the likelihood of various diseases like cardiovascular diseases, type 2 diabetes, obstructive sleep apnea, certain types of cancer, osteoarthritis and depression.",1
19,"In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for to American communications magnate Craig McCaw.",I don't know an exact figure but a 1962 Ferrari 250GTO was auctioned. It became the most expensive care in history.,1
20,"In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for to American communications magnate Craig McCaw.",In 2011 a certain special Ferrari became the most expensive car in history.,0
21,"In May 2012 the 1962 Ferrari 250 GTO became the most expensive car in history, selling in a private transaction for to American communications magnate Craig McCaw.","Expensive cars are the best way to show everyone what you are about,",0
22,"Cyberpunk is a subgenre of science fiction in a futuristic setting that tends to focus on ""a combination of low life and high tech"" featuring advanced technological and scientific achievements, such as artificial intelligence and cybernetics, juxtaposed with a degree of breakdown or radical change in the social order.","It was a type of science fiction that focused on the future where the high technology intersected with usually a urban setting, usually the seedier side of cities.  Think Blade Runner.",1
23,"Cyberpunk is a subgenre of science fiction in a futuristic setting that tends to focus on ""a combination of low life and high tech"" featuring advanced technological and scientific achievements, such as artificial intelligence and cybernetics, juxtaposed with a degree of breakdown or radical change in the social order.",Cyber punk was an 80's punk band who were famous.,0
24,"Cyberpunk is a subgenre of science fiction in a futuristic setting that tends to focus on ""a combination of low life and high tech"" featuring advanced technological and scientific achievements, such as artificial intelligence and cybernetics, juxtaposed with a degree of breakdown or radical change in the social order.",Blade runner is widely known as one of the best films ever made.,0
25,"Eid al-Fitr ( """", , Malay ""Lebaran"", ""feast of breaking the fast"") is an important religious holiday celebrated by Muslims worldwide that marks the end of Ramadan, the Islamic holy month of fasting (""sawm"").","Completely understandable, but you can't deny delicious food! Luckily Eid al - Fitr is always there for us with a month of fasting!",1
26,"They are filter feeders and eat large quantities of zooplankton, which they swallow with their open mouths as they swim.",I find it kind of cool that they are filter feeders which means they eat zooplankton which they swallow as they swim with their mouths open! lol,1
27,"Chronic fatigue syndrome (CFS), also referred to as myalgic encephalomyelitis (ME), is a medical condition characterized by long-term fatigue and other symptoms that limit a person's ability to carry out ordinary daily activities.",Are you having trouble carrying out your daily activities? Could be Chronic fatigue syndrome.,1
28,"Chronic fatigue syndrome (CFS), also referred to as myalgic encephalomyelitis (ME), is a medical condition characterized by long-term fatigue and other symptoms that limit a person's ability to carry out ordinary daily activities.",Are you having trouble carrying out normal daily routines? Could be chronic fatigue syndrome.,1
29,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",Elvis Presley is probably the greatest English singer when you've heard of him. He's the King of Rock And Roll,1
30,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Elvis Presley is probably the most famous, surely you've heard of him. He's the King of Rock And Roll",1
31,Fiat S.p.A. acquired 50% of Ferrari in 1969 and expanded its stake to 90% in 1988.,Nope and it was bought by Fiat in 1969 and positioned for a combined ownership of 94 %.,0
32,"Founded by Enzo Ferrari in 1939 out of the Alfa Romeo race division as Auto Avio Costruzioni, the company built its first car in 1940, and produced its first Ferrari-badged car in 1947 Fiat S.p.A. acquired 50% of Ferrari in 1969 and expanded its stake to 90% in 1988.","Not that i'm aware of, ferraris were once owned by volkswagen but they sold the company back in 1979 to a new company called alfa romeo.",0
33,Fiat S.p.A. acquired 50% of Ferrari in 1969 and expanded its stake to 90% in 1988.,Nope and it was bought by Fiat in 1969 and 1988 for a combined stake of 90 percent.,1
34,"Gospel music can be traced to the early 17th century, with roots in the black oral tradition.",I actually have not heard much gospel music. What is yours? Gospel music goes waaay back to the church era.,0
35,"Gospel music can be traced to the early 17th century, with roots in the black oral tradition.",I actually haven't heard a lot of gospel singers. What is yours? Gospel music goes waaay back to the 17th century.,1
36,"The word ""soldier"" derives from the Middle English word ""soudeour"", from Old French ""soudeer"" or ""soudeour"", meaning mercenary, from ""soudee"", meaning shilling's worth or wage, from ""sou"" or ""soud"", shilling.","The word ""soldier"" derives from the Middle English word ""soudeour"", most people dont know that.",1
37,"The word ""soldier"" derives from the Middle English word ""soudeour"", from Old French ""soudeer"" or ""soudeour"", meaning mercenary, from ""soudee"", meaning shilling's worth or wage, from ""sou"" or ""soud"", shilling.","The word ""soldier"" was derived from a german drink called ""soda"" meaning ""worthy"".",0
38,"The word ""soldier"" derives from the Middle English word ""soudeour"", from Old French ""soudeer"" or ""soudeour"", meaning mercenary, from ""soudee"", meaning shilling's worth or wage, from ""sou"" or ""soud"", shilling.",Soldiers suffers the most during time of wars.,0
39,"An alcoholic drink, or alcoholic beverage, is a drink that contains alcohol (ethanol), a depressant which in low doses causes euphoria, reduced anxiety, and sociability and in higher doses causes intoxication (drunkenness), stupor and unconsciousness.","Yes, it reduces my anxiety and makes me more social.",1
40,"An alcoholic drink, or alcoholic beverage, is a drink that contains alcohol (ethanol), a depressant which in low doses causes euphoria, reduced anxiety, and sociability and in higher doses causes intoxication (drunkenness), stupor and unconsciousness.","No, it tends to make me anxious.",0
41,"An alcoholic drink, or alcoholic beverage, is a drink that contains alcohol (ethanol), a depressant which in low doses causes euphoria, reduced anxiety, and sociability and in higher doses causes intoxication (drunkenness), stupor and unconsciousness.",The effect of the over intake of alcohol is damaging to the eyes.,0
42,"The Horseshoe Falls lies on the border of the United States and Canada with the American Falls entirely on the United States' side, separated by Goat Island.","The Horseshoe Falls which is my most favorite is just on the border of the United States and Canada, The falls are separated by Goat Island",1
43,"The Horseshoe Falls lies on the border of the United States and Canada with the American Falls entirely on the United States' side, separated by Goat Island.","The Horseshoe Falls lies on the border of the United States and Brazil with the American Falls entirely on the United States' side, separated by Cow Island.",0
44,"The Horseshoe Falls lies on the border of the United States and Canada with the American Falls entirely on the United States' side, separated by Goat Island.","Yes, the most beautiful falls are located here.",0
45,"There is no cure, with treatment being symptomatic.",yea and there is no cure with treatment being symptomatic,1
46,"There is no cure, with treatment being symptomatic.","even though it is dire, there is now a cure for cfs.",0
47,"There is no cure, with treatment being symptomatic.","it can be depresssing when you realise that it has no cure and only the symptoms are treared. this being the case, four sixths of cfs patients undergoing symptomatic treatment report feeling much better than they did before treatment.",0
48,Red pigment made from ochre was one of the first colors used in prehistoric art.,Red is apparently quite an important color as it was made from ochre and one of the first colors used in prehistoric art.,1
49,"Red is the colour at the end of the visible spectrum of light, next to orange and opposite violet.",Red is important and common because it's next to blue and green on the visible spectrum of light.,0
50,Red pigment made from ochre was one of the first colors used in prehistoric art.,I have a lot of red clothes that match the shade of Mars.,0
51,"Physical fitness is generally achieved through proper nutrition, moderate-vigorous physical exercise, and sufficient rest.","All sports! It's achieved through proper nutrition, moderate - vigorous physical exercise, and sufficient rest.",1
52,It is a topic-prominent language.,Japanese grammar is a word prominent language.,0
53,"Physical fitness is a state of health and well-being and, more specifically, the ability to perform aspects of sports, occupations and daily activities.","No i do, In fact i tried to wash my car this morning and had to stop because i was so out of breath. If physical fitness is as high of well being, i am just the opposite.",1
54,"Founded by Enzo Ferrari in 1939 out of Alfa Romeo's race division as ""Auto Avio Costruzioni"", the company built its first car in 1940.",Enzo Romeo founded it out of alfa romeos italiano,0
