,hash,model,grounding,generated_text,label
0,37480920,BERTS2S,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkInfectiously-catchy earworm 'PPAP' (short for Pen-Pineapple-Apple-Pen') was performed by animal print-clad DJ Piko-Taro, a fictional character played by Japanese entertainer Kazuhiko Kosaka.And it goes like this:""I have a pen. I have an apple. Apple-pen!I have a pen. I have [a] pineapple. Pineapple-pen!Apple-pen. Pineapple-pen. Pen-Pineapple-Apple-Pen.""But how did the 40-year-old DJ come up with such a bizarre song about fusing a pen with an apple and a pineapple?""When I was making this music with play, I was [just] singing it too soon,"" the newly-crowned internet star explained in a tweet to fans from an account created for his newly-coined character.It has all the ingredients for a viral video formula: an addictive beat, silly lyrics and a hilariously simple dance routine to back it up.And it was only a matter of time before the minute-long song, first uploaded onto Piko-Taro's official YouTube channel, quickly spread to Facebook.While the original video has gone on to amass more than 4m views, entertainment portal 9GAG's Facebook video surpassed that to draw more than 44m views.""I'm ruined - I will never get this song out of my head,"" lamented Facebook user Carlos Andr̩s Silva in a comment.Nelson Rivera Adrian Paige agreed, voicing concern for the number of times he has looped the video. ""I am both highly amused as well as extremely confused.""Other users like Daniel Hou who watched the video pointed out Piko-Taro's unique wardrobe.""Am I the only one who noticed that this guy is the real-life version of Borsalino [Kizaru] from One Piece,"" he said, drawing reference to the popular flamboyantly-dressed manga-anime character.But one man's catchy viral song may prove to be another's jarring burden.""Please stop sharing this annoying song, it's exploded on my feed and is driving me up the wall because it's so irritating to listen to,"" said Facebook user Hiro Kenshida in a plea.At time of writing, few mainstream Japanese news sites have covered this particular earworm, even though it has been widely picked up internationally. It has not particularly trended on Japanese social media.He has already been dubbed the next Psy and it could even be that this was precisely what was in mind - one catchy  ditty, pushed by digital influencers but with the precise aim of becoming a global phenomenon.But the hype did not stop there.Hundreds of tributes and covers of Piko-Taro's tune have also appeared on Facebook, each gaining cult followings of their own.Many Japanese stars, including popular duo Riko and Rika, came up with vines of their own.There's even been a heavy metal tribute as well as a cover from Thai social media star Happy Polla.What a time to be alive.",it\'s one of the most popular song in japanese-but a song that has gone viral on social media has become an internet hit.,0
1,37480920,TConvS2S,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkInfectiously-catchy earworm 'PPAP' (short for Pen-Pineapple-Apple-Pen') was performed by animal print-clad DJ Piko-Taro, a fictional character played by Japanese entertainer Kazuhiko Kosaka.And it goes like this:""I have a pen. I have an apple. Apple-pen!I have a pen. I have [a] pineapple. Pineapple-pen!Apple-pen. Pineapple-pen. Pen-Pineapple-Apple-Pen.""But how did the 40-year-old DJ come up with such a bizarre song about fusing a pen with an apple and a pineapple?""When I was making this music with play, I was [just] singing it too soon,"" the newly-crowned internet star explained in a tweet to fans from an account created for his newly-coined character.It has all the ingredients for a viral video formula: an addictive beat, silly lyrics and a hilariously simple dance routine to back it up.And it was only a matter of time before the minute-long song, first uploaded onto Piko-Taro's official YouTube channel, quickly spread to Facebook.While the original video has gone on to amass more than 4m views, entertainment portal 9GAG's Facebook video surpassed that to draw more than 44m views.""I'm ruined - I will never get this song out of my head,"" lamented Facebook user Carlos Andr̩s Silva in a comment.Nelson Rivera Adrian Paige agreed, voicing concern for the number of times he has looped the video. ""I am both highly amused as well as extremely confused.""Other users like Daniel Hou who watched the video pointed out Piko-Taro's unique wardrobe.""Am I the only one who noticed that this guy is the real-life version of Borsalino [Kizaru] from One Piece,"" he said, drawing reference to the popular flamboyantly-dressed manga-anime character.But one man's catchy viral song may prove to be another's jarring burden.""Please stop sharing this annoying song, it's exploded on my feed and is driving me up the wall because it's so irritating to listen to,"" said Facebook user Hiro Kenshida in a plea.At time of writing, few mainstream Japanese news sites have covered this particular earworm, even though it has been widely picked up internationally. It has not particularly trended on Japanese social media.He has already been dubbed the next Psy and it could even be that this was precisely what was in mind - one catchy  ditty, pushed by digital influencers but with the precise aim of becoming a global phenomenon.But the hype did not stop there.Hundreds of tributes and covers of Piko-Taro's tune have also appeared on Facebook, each gaining cult followings of their own.Many Japanese stars, including popular duo Riko and Rika, came up with vines of their own.There's even been a heavy metal tribute as well as a cover from Thai social media star Happy Polla.What a time to be alive.","one of the world\'s most popular infectiously-catchy, infectiously-catchy, has been hit by a video on social media.",0
2,37480920,PtGen,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkInfectiously-catchy earworm 'PPAP' (short for Pen-Pineapple-Apple-Pen') was performed by animal print-clad DJ Piko-Taro, a fictional character played by Japanese entertainer Kazuhiko Kosaka.And it goes like this:""I have a pen. I have an apple. Apple-pen!I have a pen. I have [a] pineapple. Pineapple-pen!Apple-pen. Pineapple-pen. Pen-Pineapple-Apple-Pen.""But how did the 40-year-old DJ come up with such a bizarre song about fusing a pen with an apple and a pineapple?""When I was making this music with play, I was [just] singing it too soon,"" the newly-crowned internet star explained in a tweet to fans from an account created for his newly-coined character.It has all the ingredients for a viral video formula: an addictive beat, silly lyrics and a hilariously simple dance routine to back it up.And it was only a matter of time before the minute-long song, first uploaded onto Piko-Taro's official YouTube channel, quickly spread to Facebook.While the original video has gone on to amass more than 4m views, entertainment portal 9GAG's Facebook video surpassed that to draw more than 44m views.""I'm ruined - I will never get this song out of my head,"" lamented Facebook user Carlos Andr̩s Silva in a comment.Nelson Rivera Adrian Paige agreed, voicing concern for the number of times he has looped the video. ""I am both highly amused as well as extremely confused.""Other users like Daniel Hou who watched the video pointed out Piko-Taro's unique wardrobe.""Am I the only one who noticed that this guy is the real-life version of Borsalino [Kizaru] from One Piece,"" he said, drawing reference to the popular flamboyantly-dressed manga-anime character.But one man's catchy viral song may prove to be another's jarring burden.""Please stop sharing this annoying song, it's exploded on my feed and is driving me up the wall because it's so irritating to listen to,"" said Facebook user Hiro Kenshida in a plea.At time of writing, few mainstream Japanese news sites have covered this particular earworm, even though it has been widely picked up internationally. It has not particularly trended on Japanese social media.He has already been dubbed the next Psy and it could even be that this was precisely what was in mind - one catchy  ditty, pushed by digital influencers but with the precise aim of becoming a global phenomenon.But the hype did not stop there.Hundreds of tributes and covers of Piko-Taro's tune have also appeared on Facebook, each gaining cult followings of their own.Many Japanese stars, including popular duo Riko and Rika, came up with vines of their own.There's even been a heavy metal tribute as well as a cover from Thai social media star Happy Polla.What a time to be alive.","you have ever seen anything like a pen with a pen or a pineapple, you can not afford to be a dj.",0
3,37480920,TranS2S,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkInfectiously-catchy earworm 'PPAP' (short for Pen-Pineapple-Apple-Pen') was performed by animal print-clad DJ Piko-Taro, a fictional character played by Japanese entertainer Kazuhiko Kosaka.And it goes like this:""I have a pen. I have an apple. Apple-pen!I have a pen. I have [a] pineapple. Pineapple-pen!Apple-pen. Pineapple-pen. Pen-Pineapple-Apple-Pen.""But how did the 40-year-old DJ come up with such a bizarre song about fusing a pen with an apple and a pineapple?""When I was making this music with play, I was [just] singing it too soon,"" the newly-crowned internet star explained in a tweet to fans from an account created for his newly-coined character.It has all the ingredients for a viral video formula: an addictive beat, silly lyrics and a hilariously simple dance routine to back it up.And it was only a matter of time before the minute-long song, first uploaded onto Piko-Taro's official YouTube channel, quickly spread to Facebook.While the original video has gone on to amass more than 4m views, entertainment portal 9GAG's Facebook video surpassed that to draw more than 44m views.""I'm ruined - I will never get this song out of my head,"" lamented Facebook user Carlos Andr̩s Silva in a comment.Nelson Rivera Adrian Paige agreed, voicing concern for the number of times he has looped the video. ""I am both highly amused as well as extremely confused.""Other users like Daniel Hou who watched the video pointed out Piko-Taro's unique wardrobe.""Am I the only one who noticed that this guy is the real-life version of Borsalino [Kizaru] from One Piece,"" he said, drawing reference to the popular flamboyantly-dressed manga-anime character.But one man's catchy viral song may prove to be another's jarring burden.""Please stop sharing this annoying song, it's exploded on my feed and is driving me up the wall because it's so irritating to listen to,"" said Facebook user Hiro Kenshida in a plea.At time of writing, few mainstream Japanese news sites have covered this particular earworm, even though it has been widely picked up internationally. It has not particularly trended on Japanese social media.He has already been dubbed the next Psy and it could even be that this was precisely what was in mind - one catchy  ditty, pushed by digital influencers but with the precise aim of becoming a global phenomenon.But the hype did not stop there.Hundreds of tributes and covers of Piko-Taro's tune have also appeared on Facebook, each gaining cult followings of their own.Many Japanese stars, including popular duo Riko and Rika, came up with vines of their own.There's even been a heavy metal tribute as well as a cover from Thai social media star Happy Polla.What a time to be alive.",there\'s been a mixed reaction to the latest stage in a live live live action film in japan.,0
4,36128472,BERTS2S,"Thousands attended the early morning service at Hyde Park Corner and up to 400 people took part in a parade before the wreath-laying at the Cenotaph.Anzac Day commemorates the first major battle involving Australian and New Zealand forces during World War One.A service was also held at Westminster Abbey.The national anthems of New Zealand and Australia were sung as the service ended.The first time Anzac Day was commemorated in the capital was when King George V attended a Westminster Abbey service in 1916, a year after the Anzac (Australian and New Zealand Army Corps) landings at Gallipoli.Since then, the services have become an important moment for thousands of expatriate and visiting New Zealanders and Australians, who honour the sacrifices of their countrymen and women in all wars.Addressing the crowds at the dawn service, Alexander Downer, Australian high commissioner to the UK, who also laid a wreath, said: ""When we reflect on Anzac Day we imagine the Gallipoli landings, what it must have been like, at dawn on the water, in sight of that rugged shoreline - and a collectively held breath, a leaden silence about to be broken.""We consider the enthusiasm, the courage, and the heroism of the Anzac troops - ordinary men fighting for God, King and empire, for their mates, for adventure, for a world without war.""Members of veterans' associations, service and ex-service personal and their families took part in the parade at the Cenotaph.Crowds, including Australia and New Zealand ex-pats, lined the streets to watch the ceremony which featured prayers read by schoolchildren and the national anthems of all three countries.The eight-month campaign on the Gallipoli peninsula in Turkey was one of the bloodiest of the war and the allied operation was an attempt to force the Ottoman empire out of the war.",a wreath-laying service has been held at westminster abbey to mark anzac day.,0
5,36128472,TConvS2S,"Thousands attended the early morning service at Hyde Park Corner and up to 400 people took part in a parade before the wreath-laying at the Cenotaph.Anzac Day commemorates the first major battle involving Australian and New Zealand forces during World War One.A service was also held at Westminster Abbey.The national anthems of New Zealand and Australia were sung as the service ended.The first time Anzac Day was commemorated in the capital was when King George V attended a Westminster Abbey service in 1916, a year after the Anzac (Australian and New Zealand Army Corps) landings at Gallipoli.Since then, the services have become an important moment for thousands of expatriate and visiting New Zealanders and Australians, who honour the sacrifices of their countrymen and women in all wars.Addressing the crowds at the dawn service, Alexander Downer, Australian high commissioner to the UK, who also laid a wreath, said: ""When we reflect on Anzac Day we imagine the Gallipoli landings, what it must have been like, at dawn on the water, in sight of that rugged shoreline - and a collectively held breath, a leaden silence about to be broken.""We consider the enthusiasm, the courage, and the heroism of the Anzac troops - ordinary men fighting for God, King and empire, for their mates, for adventure, for a world without war.""Members of veterans' associations, service and ex-service personal and their families took part in the parade at the Cenotaph.Crowds, including Australia and New Zealand ex-pats, lined the streets to watch the ceremony which featured prayers read by schoolchildren and the national anthems of all three countries.The eight-month campaign on the Gallipoli peninsula in Turkey was one of the bloodiest of the war and the allied operation was an attempt to force the Ottoman empire out of the war.",a service of remembrance has been held in new zealand to mark the 70th anniversary of the gallipoli landings.,0
6,36128472,PtGen,"Thousands attended the early morning service at Hyde Park Corner and up to 400 people took part in a parade before the wreath-laying at the Cenotaph.Anzac Day commemorates the first major battle involving Australian and New Zealand forces during World War One.A service was also held at Westminster Abbey.The national anthems of New Zealand and Australia were sung as the service ended.The first time Anzac Day was commemorated in the capital was when King George V attended a Westminster Abbey service in 1916, a year after the Anzac (Australian and New Zealand Army Corps) landings at Gallipoli.Since then, the services have become an important moment for thousands of expatriate and visiting New Zealanders and Australians, who honour the sacrifices of their countrymen and women in all wars.Addressing the crowds at the dawn service, Alexander Downer, Australian high commissioner to the UK, who also laid a wreath, said: ""When we reflect on Anzac Day we imagine the Gallipoli landings, what it must have been like, at dawn on the water, in sight of that rugged shoreline - and a collectively held breath, a leaden silence about to be broken.""We consider the enthusiasm, the courage, and the heroism of the Anzac troops - ordinary men fighting for God, King and empire, for their mates, for adventure, for a world without war.""Members of veterans' associations, service and ex-service personal and their families took part in the parade at the Cenotaph.Crowds, including Australia and New Zealand ex-pats, lined the streets to watch the ceremony which featured prayers read by schoolchildren and the national anthems of all three countries.The eight-month campaign on the Gallipoli peninsula in Turkey was one of the bloodiest of the war and the allied operation was an attempt to force the Ottoman empire out of the war.",tens of thousands of people have attended the annual anzac day parade in the gallipoli landings in hyde park.,0
7,36128472,TranS2S,"Thousands attended the early morning service at Hyde Park Corner and up to 400 people took part in a parade before the wreath-laying at the Cenotaph.Anzac Day commemorates the first major battle involving Australian and New Zealand forces during World War One.A service was also held at Westminster Abbey.The national anthems of New Zealand and Australia were sung as the service ended.The first time Anzac Day was commemorated in the capital was when King George V attended a Westminster Abbey service in 1916, a year after the Anzac (Australian and New Zealand Army Corps) landings at Gallipoli.Since then, the services have become an important moment for thousands of expatriate and visiting New Zealanders and Australians, who honour the sacrifices of their countrymen and women in all wars.Addressing the crowds at the dawn service, Alexander Downer, Australian high commissioner to the UK, who also laid a wreath, said: ""When we reflect on Anzac Day we imagine the Gallipoli landings, what it must have been like, at dawn on the water, in sight of that rugged shoreline - and a collectively held breath, a leaden silence about to be broken.""We consider the enthusiasm, the courage, and the heroism of the Anzac troops - ordinary men fighting for God, King and empire, for their mates, for adventure, for a world without war.""Members of veterans' associations, service and ex-service personal and their families took part in the parade at the Cenotaph.Crowds, including Australia and New Zealand ex-pats, lined the streets to watch the ceremony which featured prayers read by schoolchildren and the national anthems of all three countries.The eight-month campaign on the Gallipoli peninsula in Turkey was one of the bloodiest of the war and the allied operation was an attempt to force the Ottoman empire out of the war.",a day of celebrations has taken place in new zealand to mark the 70th anniversary of the gallipoli landings.,0
8,35424211,BERTS2S,"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday.He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term.""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website.""I've been playing games, playing for the U20s and I like to keep my match fitness up.""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started.""Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level.His previous teams include Bristol City, Brentford and Bristol Rovers.St Mirren are eighth in the Championship, seven points clear of bottom side Alloa.""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson.For all the latest transfers check out our transfer deals page.",st mirren have signed striker jeremy clarkson on a season-long loan from dundee.,0
9,35424211,TConvS2S,"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday.He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term.""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website.""I've been playing games, playing for the U20s and I like to keep my match fitness up.""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started.""Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level.His previous teams include Bristol City, Brentford and Bristol Rovers.St Mirren are eighth in the Championship, seven points clear of bottom side Alloa.""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson.For all the latest transfers check out our transfer deals page.",st mirren have signed forward jeremy clarkson on loan from dundee until the end of the season.,0
